,starcoder2-7b,phi-2,CodeQwen1.5-7B,phi-1_5,phi-1,codegemma-2b,codegemma-7b,deepseek-coder-6.7b-base,deepseek-coder-1.3b-base,granite-3b-code-base,Meta-Llama-3.1-8B,stable-code-3b,starcoder2-3b,granite-8b-code-base,granite-20b-code-base,starcoder2-15b,CodeLlama-7b-hf,deepseek-coder-5.7bmqa-base,Yi-Coder-1.5B,Yi-Coder-9B,CodeLlama-13b-hf,deepseek-coder-7b-base-v1.5
29,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
30,c4-clone,c4-clone,c4-clone,incomplete_generation,incomplete_generation,c4-clone,code_error,c4-clone,c4-clone,c4-clone,code_error,c4-clone,c4-clone,incomplete_generation,c4-clone,c4-clone,c4-clone,c4-clone,c4-clone,c4-clone,code_error,c4-clone
31,code_error,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,code_error,code_error
32,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
33,variation,code_error,variation,code_error,code_error,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
34,variation,code_error,variation,code_error,code_error,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
35,c1-clone,variation,c0-clone,variation,single_color,c0-clone,c1-clone,c0-clone,c0-clone,c0-clone,c1-clone,c1-clone,c1-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone
36,variation,code_error,c4-clone,incomplete_generation,incomplete_generation,c4-clone,c4-clone,c4-clone,c4-clone,variation,code_error,c4-clone,variation,c4-clone,c4-clone,c4-clone,c4-clone,c4-clone,variation,c4-clone,c4-clone,c4-clone
37,single_color,variation,code_error,code_error,variation,code_error,variation,variation,variation,variation,variation,incomplete_generation,variation,variation,code_error,variation,variation,variation,code_error,variation,variation,variation
38,variation,variation,variation,variation,variation,single_color,variation,code_error,variation,variation,single_color,incomplete_generation,variation,variation,c2-clone,c2-clone,c2-clone,variation,variation,c2-clone,c2-clone,variation
39,variation,incomplete_generation,c4-clone,code_error,variation,code_error,code_error,c4-clone,variation,variation,incomplete_generation,incomplete_generation,incomplete_generation,variation,variation,c1-clone,variation,variation,incomplete_generation,variation,variation,variation
40,c1-clone,c1-clone,c1-clone,code_error,c4-clone,variation,c1-clone,c4-clone,c1-clone,c4-clone,c1-clone,c4-clone,c1-clone,c4-clone,c4-clone,c1-clone,c4-clone,c1-clone,c1-clone,c4-clone,c4-clone,c1-clone
41,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,single_color,code_error,code_error,code_error,incomplete_generation,code_error,code_error,variation,code_error,variation,code_error,incomplete_generation
42,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error
43,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,code_error
44,code_error,incomplete_generation,single_color,variation,single_color,code_error,variation,variation,variation,c4-clone,code_error,variation,code_error,code_error,variation,c1-clone,single_color,c4-clone,variation,single_color,variation,code_error
45,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,variation,variation,variation,incomplete_generation,variation,variation,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation
46,variation,code_error,c4-clone,incomplete_generation,incomplete_generation,c4-clone,variation,c4-clone,c4-clone,variation,c4-clone,c4-clone,variation,c4-clone,c4-clone,c4-clone,c4-clone,c4-clone,variation,c4-clone,c4-clone,c4-clone
47,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,code_error,c0-clone,c0-clone,c0-clone,c0-clone,c1-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone,c0-clone
48,c4-clone,single_color,c1-clone,single_color,single_color,variation,c1-clone,c1-clone,variation,code_error,c1-clone,c1-clone,variation,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,variation,c1-clone,c1-clone,c1-clone
49,single_color,single_color,single_color,incomplete_generation,code_error,single_color,code_error,single_color,single_color,single_color,single_color,single_color,code_error,variation,variation,single_color,single_color,single_color,single_color,single_color,single_color,single_color
50,variation,variation,c1-clone,variation,variation,variation,variation,c1-clone,variation,variation,variation,variation,variation,variation,variation,c1-clone,c4-clone,variation,variation,c1-clone,c1-clone,c1-clone
51,variation,variation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,variation,code_error,code_error
52,code_error,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation
53,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation
54,code_error,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,variation,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error
55,code_error,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,variation,code_error,incomplete_generation,code_error,code_error,variation,incomplete_generation,code_error,variation,incomplete_generation,incomplete_generation,code_error
56,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation
57,c4-clone,code_error,c1-clone,incomplete_generation,code_error,c1-clone,c4-clone,c1-clone,c1-clone,c1-clone,code_error,c4-clone,c4-clone,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone
58,variation,incomplete_generation,variation,code_error,code_error,incomplete_generation,variation,variation,variation,incomplete_generation,code_error,variation,incomplete_generation,variation,variation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,variation,code_error
59,c4-clone,variation,c4-clone,variation,code_error,variation,variation,c4-clone,variation,variation,variation,c4-clone,variation,c4-clone,c4-clone,c4-clone,variation,c4-clone,variation,variation,c4-clone,variation
60,code_error,incomplete_generation,single_color,code_error,code_error,variation,code_error,single_color,code_error,code_error,single_color,variation,code_error,variation,variation,single_color,variation,variation,variation,variation,variation,single_color
61,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation
62,variation,code_error,variation,incomplete_generation,code_error,single_color,code_error,code_error,code_error,incomplete_generation,incomplete_generation,variation,variation,incomplete_generation,variation,code_error,incomplete_generation,incomplete_generation,variation,variation,variation,variation
63,c2-clone,code_error,c2-clone,variation,code_error,c4-clone,c4-clone,c2-clone,c4-clone,c2-clone,c4-clone,c2-clone,c4-clone,c4-clone,c4-clone,c2-clone,c4-clone,c2-clone,code_error,c4-clone,c2-clone,c4-clone
64,c1-clone,variation,c0-clone,single_color,code_error,c4-clone,c0-clone,c0-clone,code_error,c4-clone,c1-clone,c1-clone,c1-clone,c1-clone,c0-clone,c0-clone,c0-clone,c4-clone,c0-clone,c0-clone,c0-clone,c0-clone
65,incomplete_generation,incomplete_generation,variation,code_error,code_error,incomplete_generation,incomplete_generation,code_error,variation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,variation,variation,incomplete_generation
66,variation,variation,variation,code_error,incomplete_generation,variation,variation,variation,variation,variation,variation,variation,variation,incomplete_generation,variation,code_error,variation,variation,single_color,variation,variation,variation
67,code_error,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,code_error,variation,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,incomplete_generation
68,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error
69,variation,variation,variation,code_error,incomplete_generation,variation,variation,variation,code_error,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
70,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error
71,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,code_error,variation,variation,variation,incomplete_generation,incomplete_generation,variation,incomplete_generation
72,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,code_error,code_error,variation,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,variation,incomplete_generation,incomplete_generation,variation,code_error,code_error
73,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,incomplete_generation,variation,variation,variation,incomplete_generation,code_error,variation,incomplete_generation,variation,variation,incomplete_generation,incomplete_generation,variation,incomplete_generation,variation
74,incomplete_generation,incomplete_generation,variation,incomplete_generation,code_error,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation
75,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,variation,code_error,incomplete_generation,variation,code_error,variation
76,code_error,code_error,variation,code_error,variation,variation,code_error,variation,single_color,incomplete_generation,variation,code_error,incomplete_generation,variation,variation,variation,variation,variation,incomplete_generation,variation,variation,variation
77,variation,code_error,variation,variation,code_error,code_error,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation
78,code_error,incomplete_generation,variation,code_error,code_error,code_error,variation,variation,variation,code_error,variation,code_error,code_error,variation,variation,c4-clone,code_error,variation,variation,variation,variation,variation
79,variation,incomplete_generation,variation,code_error,code_error,incomplete_generation,code_error,variation,variation,variation,incomplete_generation,variation,variation,variation,incomplete_generation,code_error,code_error,code_error,variation,incomplete_generation,variation,variation
80,variation,variation,variation,code_error,code_error,variation,code_error,variation,variation,variation,variation,variation,code_error,variation,variation,variation,variation,variation,code_error,code_error,variation,code_error
81,code_error,code_error,variation,code_error,incomplete_generation,code_error,code_error,variation,variation,variation,variation,variation,code_error,variation,variation,c4-clone,variation,variation,incomplete_generation,variation,variation,variation
82,variation,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,incomplete_generation
83,variation,code_error,variation,code_error,variation,variation,variation,variation,variation,variation,incomplete_generation,variation,variation,variation,variation,variation,variation,variation,incomplete_generation,variation,variation,variation
84,code_error,incomplete_generation,single_color,code_error,code_error,single_color,code_error,c4-clone,incomplete_generation,variation,variation,code_error,single_color,c4-clone,c4-clone,c1-clone,variation,c4-clone,incomplete_generation,c4-clone,c4-clone,c1-clone
85,incomplete_generation,incomplete_generation,code_error,code_error,variation,variation,variation,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,code_error,code_error
86,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error
87,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,single_color,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation
88,incomplete_generation,code_error,variation,incomplete_generation,code_error,incomplete_generation,code_error,code_error,variation,incomplete_generation,variation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,variation,code_error,variation,code_error
89,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error
90,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,incomplete_generation
91,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation
92,code_error,code_error,variation,incomplete_generation,code_error,incomplete_generation,variation,variation,variation,code_error,variation,code_error,incomplete_generation,code_error,incomplete_generation,variation,incomplete_generation,variation,incomplete_generation,incomplete_generation,code_error,code_error
93,variation,incomplete_generation,variation,variation,code_error,variation,code_error,variation,variation,variation,code_error,variation,variation,code_error,code_error,variation,code_error,code_error,variation,variation,code_error,code_error
94,code_error,code_error,code_error,code_error,code_error,variation,variation,variation,variation,code_error,code_error,code_error,code_error,code_error,variation,code_error,code_error,variation,code_error,variation,code_error,code_error
95,code_error,code_error,code_error,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,c4-clone,code_error,code_error,c1-clone,code_error,code_error
96,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error
97,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,variation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error
98,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,c4-clone,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error
99,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error
100,variation,variation,variation,code_error,code_error,incomplete_generation,variation,variation,variation,code_error,variation,variation,variation,variation,code_error,variation,code_error,variation,variation,variation,variation,variation
101,incomplete_generation,incomplete_generation,code_error,code_error,variation,variation,variation,code_error,code_error,incomplete_generation,variation,incomplete_generation,incomplete_generation,variation,variation,code_error,variation,code_error,incomplete_generation,code_error,variation,variation
102,incomplete_generation,incomplete_generation,code_error,variation,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,code_error,incomplete_generation
103,variation,incomplete_generation,variation,code_error,variation,variation,variation,variation,variation,variation,variation,variation,code_error,variation,variation,code_error,variation,variation,variation,variation,variation,variation
104,variation,incomplete_generation,variation,incomplete_generation,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,variation,code_error,variation,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation
